Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100);;;;;;;;;
Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice);;;;;;;;;
Brasil;;;;;;;;;
Trimestre;Setores e subsetores;;;;;;;;
;Agropecuária - total;Indústria - total;Serviços - total;PIB a preços de mercado;Despesa de consumo das famílias;Despesa de consumo da administração pública;Formação bruta de capital fixo;Exportação de bens e serviços;Importação de bens e serviços (-)
1º trimestre 1996;105.32;93.19;98.31;96.84;96.06;96.12;92.91;95.16;82.07
2º trimestre 1996;105.5;97.9;100.58;100.12;99.75;100.07;101.18;104.64;98.2
3º trimestre 1996;108.1;111.62;105.75;107.56;104.74;105;105.26;106.67;114.44
4º trimestre 1996;92.89;101.19;104.55;104.31;112.39;91.51;105.43;91.85;127.67
1º trimestre 1997;112.67;96.25;100.2;100.13;103.65;97.3;103.37;94.7;104.68
2º trimestre 1997;110.16;105.77;102.85;104.88;105.73;99.28;112.01;119.64;121.6
3º trimestre 1997;109.69;111.85;107.1;109.49;106.9;99;114.22;125.34;132.62
4º trimestre 1997;82.64;107.7;109.43;108.21;109.2;102.02;109.26;102.54;125.13
1º trimestre 1998;111.07;96.31;101.6;101.14;103.13;98.49;106.98;104.57;112.9
2º trimestre 1998;124.57;105.47;104.76;106.46;104.59;101.52;114.41;125.39;118.86
3º trimestre 1998;115.41;108.83;109.02;109.88;106.93;104.32;112.84;125.17;129.85
4º trimestre 1998;78.27;102.15;110.15;106.66;107.76;106.07;103.91;108.79;122.14
1º trimestre 1999;125.05;92.23;104.41;101.92;102.16;99.19;98;104.47;92.73
2º trimestre 1999;126.56;100.81;106.51;106.04;103.95;102.52;102.51;124.12;101.07
3º trimestre 1999;119.43;105;109.99;109.2;106.8;105.45;100.03;129.29;105.48
4º trimestre 1999;86.29;103.95;112.37;108.97;111.09;110.16;98.71;132.51;111.45
1º trimestre 2000;132.75;96.45;107.68;106.4;105.24;102.71;97.7;126.08;96.52
2º trimestre 2000;130.92;104.78;110.04;110.25;108.36;103.87;106.51;138;108.46
3º trimestre 2000;121.22;109.67;114.74;114.19;111.88;103;106.83;153.32;124.19
4º trimestre 2000;84.88;108.83;117.48;113.98;115.63;107.11;107.43;136.06;125.92
1º trimestre 2001;136.59;100.42;110.29;110.1;109.48;103.83;107.7;140.18;119.95
2º trimestre 2001;134.9;105.23;113.54;112.82;111.71;106.2;108.68;157.08;122.37
3º trimestre 2001;128.45;106.79;116.73;114.71;109.83;106.6;108.1;157.94;117.73
4º trimestre 2001;94.27;104.59;118.66;113.38;113.49;110.97;99.44;149.34;110.19
1º trimestre 2002;143.03;98.08;113.53;110.63;109.74;108.26;99.17;133.77;97.66
2º trimestre 2002;144.8;107.66;116.37;115.41;112.49;110.58;104.04;139.69;102.14
3º trimestre 2002;143.46;112.93;120.69;119.5;112.81;111.06;107.62;189.75;107.59
4º trimestre 2002;102.56;114.21;122.97;119.24;115.33;114.02;106.99;180.49;100.28
1º trimestre 2003;165.01;98.15;115.61;113.58;109.72;107.45;102.26;153.39;93.13
2º trimestre 2003;164.26;105.52;117.4;116.31;110.19;110.86;96.93;177.97;97.94
3º trimestre 2003;145.57;115.09;121.26;120.25;111.99;113.29;100.21;192.73;103.62
4º trimestre 2003;103.35;114.59;123.99;119.94;116.01;119.41;101.76;190.52;111.01
1º trimestre 2004;165.03;105.39;119.45;117.98;110.71;111.37;103.19;181.37;102.7
2º trimestre 2004;167.55;114.92;123.94;123.65;113.62;118.02;108.51;201.17;109.95
