"dates","variable","value"
2003-01-01,"receitas",980.644517540949
2003-02-01,"receitas",981.098436389308
2003-03-01,"receitas",978.116641762157
2003-04-01,"receitas",981.920413934563
2003-05-01,"receitas",981.292618901245
2003-06-01,"receitas",977.794599918075
2003-07-01,"receitas",974.598455201739
2003-08-01,"receitas",974.95868367354
2003-09-01,"receitas",960.168448565658
2003-10-01,"receitas",957.260115380776
2003-11-01,"receitas",958.406279996522
2003-12-01,"receitas",958.367494427268
2004-01-01,"receitas",958.672529923777
2004-02-01,"receitas",964.577689265368
2004-03-01,"receitas",980.846223034624
2004-04-01,"receitas",982.35282407492
2004-05-01,"receitas",989.062189094312
2004-06-01,"receitas",1010.72221776636
2004-07-01,"receitas",1019.06568018279
2004-08-01,"receitas",1027.34351253964
2004-09-01,"receitas",1039.22482289595
2004-10-01,"receitas",1042.38941361907
2004-11-01,"receitas",1045.88845807866
2004-12-01,"receitas",1065.79329203747
2005-01-01,"receitas",1073.5162522201
2005-02-01,"receitas",1077.69486268932
2005-03-01,"receitas",1083.60667122528
2005-04-01,"receitas",1096.28510172743
2005-05-01,"receitas",1098.40247242773
2005-06-01,"receitas",1105.86417706243
2005-07-01,"receitas",1110.6849768951
2005-08-01,"receitas",1120.09182481972
2005-09-01,"receitas",1120.5343339365
2005-10-01,"receitas",1128.81761880918
2005-11-01,"receitas",1136.15219669301
2005-12-01,"receitas",1145.59919504626
2006-01-01,"receitas",1148.22666607037
2006-02-01,"receitas",1150.69944970436
2006-03-01,"receitas",1153.03548043694
2006-04-01,"receitas",1162.2957116422
2006-05-01,"receitas",1170.47745986471
2006-06-01,"receitas",1174.99804708252
2006-07-01,"receitas",1180.8519509062
2006-08-01,"receitas",1190.49553805271
2006-09-01,"receitas",1204.80016678033
2006-10-01,"receitas",1215.42039892485
2006-11-01,"receitas",1219.60954331556
2006-12-01,"receitas",1221.06102179405
2007-01-01,"receitas",1235.766984809
2007-02-01,"receitas",1241.01373804756
2007-03-01,"receitas",1254.45689960316
2007-04-01,"receitas",1263.62743821011
2007-05-01,"receitas",1274.97267559565
2007-06-01,"receitas",1280.57431597797
2007-07-01,"receitas",1292.38609861836
2007-08-01,"receitas",1295.97537323742
2007-09-01,"receitas",1301.51439599656
2007-10-01,"receitas",1313.59395672454
2007-11-01,"receitas",1333.12666985961
2007-12-01,"receitas",1344.3037495689
2008-01-01,"receitas",1365.93090090406
2008-02-01,"receitas",1373.7295857863
2008-03-01,"receitas",1381.53636858604
2008-04-01,"receitas",1392.6045263536
2008-05-01,"receitas",1397.83277987678
2008-06-01,"receitas",1406.85236673508
