selic,meta,hiato,ipca_12m,neutro_trend,selic_lag1,selic_lag2,selic_lag3,selic_lag4,desvio_ipca,hiato_lag1
16.25,5.5,-0.63,5.888224125672692,7.363457768291306,16.5,20.0,26.0,26.5,0.38822412567269193,-1.1
16.0,5.5,-0.21,6.060063635801871,7.2611800924983925,16.25,16.5,20.0,26.0,0.5600636358018711,-0.63
16.25,5.5,0.19,6.7055651670006045,7.156453040175165,16.0,16.25,16.5,20.0,1.2055651670006045,-0.21
17.75,5.5,0.46,7.600644138060431,7.0477974600077316,16.25,16.0,16.25,16.5,2.1006441380604306,0.19
19.25,4.5,0.47,7.536711011756214,6.933768725747533,17.75,16.25,16.0,16.25,3.036711011756214,0.46
19.75,4.5,0.06,7.267696834383841,6.813552445938627,19.25,17.75,16.25,16.0,2.767696834383841,0.47
19.5,4.5,-0.34,6.036901443583287,6.686875739967531,19.75,19.25,17.75,16.25,1.5369014435832868,0.06
18.0,4.5,-0.4,5.689733345858672,6.554181296724706,19.5,19.75,19.25,17.75,1.1897333458586719,-0.34
16.5,4.5,-0.34,5.322328403976484,6.416629239876677,18.0,19.5,19.75,19.25,0.822328403976484,-0.4
15.25,4.5,-0.3,4.029045672172482,6.276080273170426,16.5,18.0,19.5,19.75,-0.4709543278275179,-0.34
14.25,4.5,-0.15,3.697363413400634,6.134532250400854,15.25,16.5,18.0,19.5,-0.8026365865993661,-0.3
13.25,4.5,0.01,3.1417749683044116,5.994142117081561,14.25,15.25,16.5,18.0,-1.3582250316955884,-0.15
12.75,4.5,0.31,2.957193395931723,5.8574225974354945,13.25,14.25,15.25,16.5,-1.5428066040682769,0.01
12.0,4.5,0.59,3.6901648315725177,5.7268608873019815,12.75,13.25,14.25,15.25,-0.8098351684274823,0.31
11.25,4.5,0.91,4.14622214596525,5.604288101089262,12.0,12.75,13.25,14.25,-0.3537778540347496,0.59
11.25,4.5,1.22,4.4573304332378605,5.490739737208119,11.25,12.0,12.75,13.25,-0.04266956676213951,0.91
11.25,4.5,1.38,4.728032315812336,5.386452940929235,11.25,11.25,12.0,12.75,0.22803231581233607,1.22
12.25,4.5,1.62,6.0599403809158625,5.291039908736486,11.25,11.25,11.25,12.0,1.5599403809158625,1.38
13.75,4.5,1.42,6.250406229542982,5.203711052451874,12.25,11.25,11.25,11.25,1.7504062295429819,1.62
13.75,4.5,-0.49,5.902313417525473,5.123553162600231,13.75,12.25,11.25,11.25,1.4023134175254732,1.42
11.25,4.5,-1.82,5.607197196047431,5.049856952822897,13.75,13.75,12.25,11.25,1.107197196047431,-0.49
9.25,4.5,-1.86,4.801797452552825,4.9820401325023616,11.25,13.75,13.75,12.25,0.3017974525528251,-1.82
8.75,4.5,-1.3,4.3431858780409005,4.919562689225429,9.25,11.25,13.75,13.75,-0.1568141219590995,-1.86
8.75,4.5,-0.46,4.312028329689999,4.861643229549409,8.75,9.25,11.25,13.75,-0.1879716703100014,-1.3
8.75,4.5,0.15,5.166363320101586,4.807201784862694,8.75,8.75,9.25,11.25,0.6663633201015857,-0.46
10.25,4.5,0.56,4.841225227656443,4.75532507384509,8.75,8.75,8.75,9.25,0.3412252276564427,0.15
10.75,4.5,0.83,4.704674134797515,4.705185586060036,10.25,8.75,8.75,8.75,0.20467413479751517,0.56
10.75,4.5,1.08,5.909068347266233,4.656208902832224,10.75,10.25,8.75,8.75,1.409068347266233,0.83
11.75,4.5,1.27,6.298957040321973,4.608167059755942,10.75,10.75,10.25,8.75,1.798957040321973,1.08
12.25,4.5,1.31,6.712600898643095,4.561211435545417,11.75,10.75,10.75,10.25,2.212600898643095,1.27
