,date_quarter,variable,value
0,2003-10-01,hiato_bcb,-1.1
1,2004-01-01,hiato_bcb,-0.63
2,2004-04-01,hiato_bcb,-0.21
3,2004-07-01,hiato_bcb,0.19
4,2004-10-01,hiato_bcb,0.46
5,2005-01-01,hiato_bcb,0.47
6,2005-04-01,hiato_bcb,0.06
7,2005-07-01,hiato_bcb,-0.34
8,2005-10-01,hiato_bcb,-0.4
9,2006-01-01,hiato_bcb,-0.34
10,2006-04-01,hiato_bcb,-0.3
11,2006-07-01,hiato_bcb,-0.15
12,2006-10-01,hiato_bcb,0.01
13,2007-01-01,hiato_bcb,0.31
14,2007-04-01,hiato_bcb,0.59
15,2007-07-01,hiato_bcb,0.91
16,2007-10-01,hiato_bcb,1.22
17,2008-01-01,hiato_bcb,1.38
18,2008-04-01,hiato_bcb,1.62
19,2008-07-01,hiato_bcb,1.42
20,2008-10-01,hiato_bcb,-0.49
21,2009-01-01,hiato_bcb,-1.82
22,2009-04-01,hiato_bcb,-1.86
23,2009-07-01,hiato_bcb,-1.3
24,2009-10-01,hiato_bcb,-0.46
25,2010-01-01,hiato_bcb,0.15
26,2010-04-01,hiato_bcb,0.56
27,2010-07-01,hiato_bcb,0.83
28,2010-10-01,hiato_bcb,1.08
29,2011-01-01,hiato_bcb,1.27
30,2011-04-01,hiato_bcb,1.31
31,2011-07-01,hiato_bcb,0.99
32,2011-10-01,hiato_bcb,0.75
33,2012-01-01,hiato_bcb,0.85
34,2012-04-01,hiato_bcb,0.91
35,2012-07-01,hiato_bcb,1.08
36,2012-10-01,hiato_bcb,1.37
37,2013-01-01,hiato_bcb,1.67
38,2013-04-01,hiato_bcb,1.96
39,2013-07-01,hiato_bcb,2.16
40,2013-10-01,hiato_bcb,2.41
41,2014-01-01,hiato_bcb,2.32
42,2014-04-01,hiato_bcb,2.13
43,2014-07-01,hiato_bcb,1.83
44,2014-10-01,hiato_bcb,1.53
45,2015-01-01,hiato_bcb,0.96
46,2015-04-01,hiato_bcb,0.2
47,2015-07-01,hiato_bcb,-1.04
48,2015-10-01,hiato_bcb,-1.78
49,2016-01-01,hiato_bcb,-2.37
50,2016-04-01,hiato_bcb,-2.95
51,2016-07-01,hiato_bcb,-3.12
52,2016-10-01,hiato_bcb,-3.34
53,2017-01-01,hiato_bcb,-3.24
54,2017-04-01,hiato_bcb,-3.11
55,2017-07-01,hiato_bcb,-2.83
56,2017-10-01,hiato_bcb,-2.34
57,2018-01-01,hiato_bcb,-1.96
58,2018-04-01,hiato_bcb,-1.98
59,2018-07-01,hiato_bcb,-1.9
60,2018-10-01,hiato_bcb,-1.8
61,2019-01-01,hiato_bcb,-1.71
62,2019-04-01,hiato_bcb,-1.81
63,2019-07-01,hiato_bcb,-1.83
64,2019-10-01,hiato_bcb,-1.74
65,2020-01-01,hiato_bcb,-3.14
66,2020-04-01,hiato_bcb,-5.92
67,2020-07-01,hiato_bcb,-4.29
68,2020-10-01,hiato_bcb,-3.1
69,2021-01-01,hiato_bcb,-2.22
70,2021-04-01,hiato_bcb,-1.45
71,2021-07-01,hiato_bcb,-0.93
72,2021-10-01,hiato_bcb,-0.55
73,2022-01-01,hiato_bcb,-0.27
74,2022-04-01,hiato_bcb,-0.17
75,2022-07-01,hiato_bcb,-0.14
76,2022-10-01,hiato_bcb,-0.15
77,2023-01-01,hiato_bcb,-0.18
78,2023-04-01,hiato_bcb,-0.15
79,2023-07-01,hiato_bcb,-0.11
80,2023-10-01,hiato_bcb,-0.09
81,2024-01-01,hiato_bcb,0.06
82,2024-04-01,hiato_bcb,0.01
