"primario","dates"
2.17816877742354,2003-01-01
2.23559938928922,2003-02-01
2.34168175995503,2003-03-01
2.56303320282501,2003-04-01
2.65603842239434,2003-05-01
2.56850039602966,2003-06-01
2.60384844083441,2003-07-01
2.64876560305416,2003-08-01
2.41550899188287,2003-09-01
2.41079868878299,2003-10-01
2.4626974712396,2003-11-01
2.27480656076156,2003-12-01
2.25697679507947,2004-01-01
2.26946223566278,2004-02-01
2.33468062006509,2004-03-01
2.16839107607223,2004-04-01
2.14684626667832,2004-05-01
2.38591039504211,2004-06-01
2.39947123151561,2004-07-01
2.42100613140139,2004-08-01
2.44692845071759,2004-09-01
2.4480789195883,2004-10-01
2.38734233224392,2004-11-01
2.5203113300035,2004-12-01
2.55323730805651,2005-01-01
2.41618117067825,2005-02-01
2.43640501525028,2005-03-01
2.68874683984667,2005-04-01
2.61674239821065,2005-05-01
2.60040977973463,2005-06-01
2.63818211067798,2005-07-01
2.63006688005092,2005-08-01
2.52001314490853,2005-09-01
2.55018694406594,2005-10-01
2.50609961727058,2005-11-01
2.42668128002933,2005-12-01
2.20714350774823,2006-01-01
2.26221836380161,2006-02-01
2.27668360520721,2006-03-01
2.3540456245067,2006-04-01
2.32734991732668,2006-05-01
2.32434378229693,2006-06-01
2.22677503421449,2006-07-01
2.31306695099611,2006-08-01
2.18899089907787,2006-09-01
2.20702952370684,2006-10-01
2.11667666964234,2006-11-01
2.02320994681239,2006-12-01
2.31060152754376,2007-01-01
2.28312621401584,2007-02-01
2.11998632621168,2007-03-01
2.07097298363629,2007-04-01
2.10960351662171,2007-05-01
2.05232517105442,2007-06-01
2.11275632543886,2007-07-01
1.99332428116897,2007-08-01
1.96445858938653,2007-09-01
2.05803608533957,2007-10-01
2.22044555739414,2007-11-01
2.11929475151836,2007-12-01
2.23769375346644,2008-01-01
2.27503107587345,2008-02-01
2.49622886896188,2008-03-01
2.55866330547353,2008-04-01
2.57915065150308,2008-05-01
2.64066112362913,2008-06-01
2.67385153987846,2008-07-01
2.73024897347147,2008-08-01
2.89070202141789,2008-09-01
3.01669689461134,2008-10-01
2.69961742292239,2008-11-01
2.29719975328503,2008-12-01
1.92371444696869,2009-01-01
1.7152093877019,2009-02-01
1.57726223786681,2009-03-01
1.36074933802261,2009-04-01
1.16893060093957,2009-05-01
0.897115163892321,2009-06-01
0.716189154487361,2009-07-01
0.623263014819536,2009-08-01
0.188089591317594,2009-09-01
0.0750039085579935,2009-10-01
0.532851046526281,2009-11-01
1.1831969001961,2009-12-01
1.4607952688946,2010-01-01
1.44126521361508,2010-02-01
1.097372926363,2010-03-01
1.26595991259577,2010-04-01
1.24310979454956,2010-05-01
1.26173873393927,2010-06-01
1.22388610052628,2010-07-01
1.22037461992952,2010-08-01
2.10532666857399,2010-09-01
1.98932749483637,2010-10-01
1.70863397918928,2010-11-01
2.00448367991713,2010-12-01
1.98918534971343,2011-01-01
2.05792931943766,2011-02-01
2.37347701751437,2011-03-01
2.32398187977978,2011-04-01
2.40689995088197,2011-05-01
2.61503519771991,2011-06-01
2.83833526020996,2011-07-01
2.77860569473979,2011-08-01
2.27368635908569,2011-09-01
2.34200744341662,2011-10-01
2.41044216310981,2011-11-01
2.09970315344456,2011-12-01
2.23067267187349,2012-01-01
2.27698885779266,2012-02-01
2.22314939814125,2012-03-01
2.10489570549811,2012-04-01
2.03300715465456,2012-05-01
1.80722365318716,2012-06-01
1.63246776187158,2012-07-01
1.59247616712016,2012-08-01
1.49146755726436,2012-09-01
1.43473096659887,2012-10-01
1.22716088396765,2012-11-01
1.76515477922055,2012-12-01
1.86211969470813,2013-01-01
1.60390859393429,2013-02-01
1.43302535317631,2013-03-01
1.33242165844622,2013-04-01
1.40316194031442,2013-05-01
1.39460071222692,2013-06-01
1.37582133642189,2013-07-01
1.33301086010878,2013-08-01
1.09506764351408,2013-09-01
0.999975793482114,2013-10-01
1.61980697252978,2013-11-01
1.35341900671716,2013-12-01
1.08400760919828,2014-01-01
1.13457294511896,2014-02-01
1.1868256177333,2014-03-01
1.35149455506614,2014-04-01
1.03470318613195,2014-05-01
0.967070237047813,2014-06-01
0.853463039871984,2014-07-01
0.666088336565934,2014-08-01
0.482251668378738,2014-09-01
0.44608976585857,2014-10-01
-0.174730455722391,2014-11-01
-0.406343561066172,2014-12-01
-0.443687538055174,2015-01-01
-0.513636483194781,2015-02-01
-0.54111380316293,2015-03-01
-0.646133622435263,2015-04-01
-0.595107931303193,2015-05-01
-0.698109587277459,2015-06-01
-0.782414401603334,2015-07-01
-0.696986593004699,2015-08-01
-0.466643734268193,2015-09-01
-0.737416765133823,2015-10-01
-0.971129341538533,2015-11-01
-2.00978164380976,2015-12-01
-1.92903248460388,2016-01-01
-2.21980506676801,2016-02-01
-2.36336483502863,2016-03-01
-2.37200869389624,2016-04-01
-2.50110621243494,2016-05-01
-2.5015160280978,2016-06-01
-2.68240965528688,2016-07-01
-2.90646843538985,2016-08-01
-3.18664812895109,2016-09-01
-2.30605097420692,2016-10-01
-2.56950618884718,2016-11-01
-2.57245473383972,2016-12-01
-2.50670613182914,2017-01-01
-2.51324804190559,2017-02-01
-2.55379608971284,2017-03-01
-2.49215549427409,2017-04-01
-2.67231996793259,2017-05-01
-2.82099786509485,2017-06-01
-2.82380595860855,2017-07-01
-2.65550218355505,2017-08-01
-2.61021366014316,2017-09-01
-3.14707300255665,2017-10-01
-2.52761434248458,2017-11-01
-1.88690126617459,2017-12-01
-1.6820606072573,2018-01-01
-1.56770910156913,2018-02-01
-1.75952006622426,2018-03-01
-1.80039182539219,2018-04-01
-1.52513229996005,2018-05-01
-1.46458853704319,2018-06-01
-1.26970920931931,2018-07-01
-1.40066239974589,2018-08-01
-1.39706070855068,2018-09-01
-1.3244858468535,2018-10-01
-1.56843785956533,2018-11-01
-1.71643149951631,2018-12-01
-1.72162423740235,2019-01-01
-1.6987516857153,2019-02-01
-1.64752662073656,2019-03-01
-1.67190794433375,2019-04-01
-1.71126488443299,2019-05-01
-1.64436772293367,2019-06-01
-1.6137074458991,2019-07-01
-1.56774337148027,2019-08-01
-1.52359210008426,2019-09-01
-1.52708025937313,2019-10-01
-1.52562187069495,2019-11-01
-1.28654840049807,2019-12-01
-1.09048460475948,2020-01-01
-1.18654039369632,2020-02-01
-1.18181869333394,2020-03-01
-2.52435086830463,2020-04-01
-4.04620841885255,2020-05-01
-6.5058378425832,2020-06-01
-7.59749167229073,2020-07-01
-8.65392358604698,2020-08-01
-9.36501527997758,2020-09-01
-9.49677460600609,2020-10-01
-9.46608226987054,2020-11-01
-9.76733482212606,2020-12-01
-9.69319456820082,2021-01-01
-9.52397727000208,2021-02-01
-9.06784083888344,2021-03-01
-7.51687237983485,2021-04-01
-6.09103297278242,2021-05-01
-4.545138240185,2021-06-01
-3.67249124143464,2021-07-01
-2.60550718036233,2021-08-01
-1.6909459908803,2021-09-01
-1.30986964739355,2021-10-01
-1.04247445182311,2021-11-01
-0.389118752126763,2021-12-01
-0.0194544685286717,2022-01-01
-0.00868158993862935,2022-02-01
-0.100785329930691,2022-03-01
0.0333549980995502,2022-04-01
-0.162785236392755,2022-05-01
0.767146248829533,2022-06-01
1.15979091382383,2022-07-01
0.701518282051039,2022-08-01
0.785353265681084,2022-09-01
0.780065665793791,2022-10-01
0.562512536118419,2022-11-01
0.460416171980368,2022-12-01
0.477040417915687,2023-01-01
0.275783665841552,2023-02-01
0.266761627881818,2023-03-01
0.136668899570055,2023-04-01
0.081492836308253,2023-05-01
-0.485609769908566,2023-06-01
-1.00272594022546,2023-07-01
-0.75739559431597,2023-08-01
-0.734468774951686,2023-09-01
-0.829650292974428,2023-10-01
-1.02194689991162,2023-11-01
-2.12351222700334,2023-12-01
-2.10735142817691,2024-01-01
-2.25854587945895,2024-02-01
-2.20438139816364,2024-03-01
-2.22787395684627,2024-04-01
-2.35895390366434,2024-05-01
-2.29042639134611,2024-06-01
-2.03813274976512,2024-07-01
