"receita","despesa"
17978.3110067932,17186.7177238224
16732.7276288927,16731.2196778312
16609.3133338118,17187.4286600158
16845.6608106378,16679.5887005891
17147.8414197985,17324.4381217584
17055.1106875555,17380.6854877585
17601.3136835998,18275.5604035737
17523.7694405604,18437.0914371351
17859.3158250142,18719.4520167964
17920.1435254576,18744.3069864493
17756.382113882,20528.6610135654
27134.7014793372,34547.3641552173
17851.4222108415,18801.3846977309
17103.7215933618,18582.2706999084
17186.8144414031,18638.9406704069
16745.1565287009,18879.5636141562
17960.6138674378,18766.7129747036
17563.5704003885,19300.6184119199
16721.2434028413,20145.8999574218
18335.5666804749,20393.8771906493
17512.9360822897,20569.6388766204
17527.8239016596,20643.8985086565
16285.5371805766,22741.5557179832
30451.754668213,37687.2257630459
16896.4008187581,20502.9205859703
16850.9900467999,20040.6544971712
17261.4483718441,20088.0534145058
17749.3220147639,20091.329102074
17331.3256846546,20142.9668238194
17718.570574836,20418.5387288531
17815.7718797182,21057.1496092544
17785.8064966303,20895.9482820121
17643.7834680026,20840.5532888948
17375.3070632579,21057.0722256832
17354.1031312166,22741.0429655579
31313.9506613945,38176.8328186133
17201.5409075637,20365.6682570072
17776.024735869,20334.2217639019
18824.1671807346,20770.334202701
18036.068251192,20810.5758558123
18911.7938243158,21607.4001308992
19073.1315963792,21822.1589809024
19309.7795363033,22083.6911300094
19542.7866278692,22052.9009771558
18823.9461276157,22310.8935505863
18775.1515938191,22577.520480221
18807.4059763219,24503.7434201837
31746.9835730425,40210.326937915
19011.923658637,21647.8436017691
19581.0025452868,21719.7770292693
18967.0299138104,22234.5093726162
19405.1129654381,22174.1084787294
19875.7575582257,23430.5116953975
20271.3403564894,23460.7195920192
19772.988951851,24282.898422599
19904.8835445479,24003.4999427634
19296.4388182857,23648.3135864353
19764.437804078,23483.2313209748
19678.7061284906,25833.002091107
33043.12128587,43375.4151825204
19622.6069523531,23548.7815215337
19752.3994642497,23832.8753628775
19621.1457330026,23925.6260149444
20183.4646335931,24100.7196368487
20761.1349806764,24780.7917159558
19750.3749696705,25144.920930579
21316.4464091216,26168.841271439
21286.9314566486,26094.0009544474
20954.0266137811,26089.4221014642
21886.7402806779,25977.8500541459
20338.9435085605,27429.1887848189
34410.5157997853,44649.9208555489
18245.4329983566,24067.2960616104
20101.7677977083,23666.1498271645
18560.0986892145,23553.3966085346
18825.9005660081,23828.5832974947
19340.2436737998,25129.8540298784
19768.9990627994,25828.0988121226
20483.1559030354,28379.166748469
20819.4074934431,28896.788452281
20876.09018646,28155.9241390206
21957.0726548896,28263.6356171922
20635.4139054721,30756.5727137759
38434.0756505116,51732.8556378408
18145.1791646527,27471.5499227612
21928.5459490471,28024.3974685175
21903.8777207217,26476.7098438083
22006.6831834061,28391.0961351378
22131.006797685,28649.7207540876
23860.097359267,30022.0063236053
22475.5939534416,29691.3386621986
22541.9041396338,30183.2167576022
22041.6342533222,29857.788278739
22886.6299580876,30424.3509617098
22501.3172262793,29711.1458860696
38685.5031008229,57866.0584559176
23238.484295713,30315.5136362447
21161.3947688036,32065.9908654934
23501.8778153287,30170.9241524368
24323.8002921337,30019.2223632353
23049.4849387983,29645.6737250046
24183.9966310008,33044.3998915152
23801.9354688609,32471.529614095
25101.3672121945,32414.6874049185
24443.2050561707,32023.9249284238
24125.0569787979,32825.8972434427
24944.7175464805,33294.510940493
42561.0228310865,61561.9322859262
22413.5742725738,35648.1233547157
25355.554267566,31996.8685503939
24909.0169316646,31986.9898600276
25092.1694794729,32147.8200182268
25856.8487038074,34800.8651403843
26133.8691653045,34678.2261109501
26296.2507383612,35583.6021936615
