"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"1";202404;2;29;290720;"A";133410;1;622515;101;"Médio Completo";33;"45.42";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"2";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";33;"44";3;"Feminino";0;1;97;0;0;0;"1450";5;0
"3";202404;2;26;261110;"A";133410;1;999999;103;"Médio Completo";18;"20";1;"Feminino";0;1;97;0;0;0;"706";9;1
"4";202404;2;26;261110;"A";132600;1;643005;101;"6ª a 9ª Fundamental";33;"44";3;"Masculino";0;1;97;0;0;0;"1450";4;0
"5";202404;2;26;261110;"A";132600;1;622505;101;"Até 5ª Incompleto";54;"44";3;"Feminino";0;1;97;0;0;0;"1450";7;0
"6";202404;2;26;261110;"A";133410;1;622505;101;"Médio Completo";37;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"7";202404;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";51;"44";2;"Masculino";0;1;97;0;0;0;"1450";8;0
"8";202404;2;29;290720;"A";133410;1;621005;101;"Médio Completo";31;"44";6;"Masculino";2;3;97;0;0;0;"1450";2;0
"9";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";23;"44";1;"Masculino";0;1;97;0;0;0;"1450";5;0
"10";202404;2;29;290720;"A";132600;1;622515;101;"Médio Completo";18;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
"11";202404;2;26;261110;"A";132600;1;622505;101;"Até 5ª Incompleto";51;"44";3;"Feminino";0;1;97;0;0;0;"1450";7;0
"12";202404;2;26;261110;"A";132600;1;622505;101;"Superior Incompleto";40;"44";1;"Feminino";0;1;97;0;0;0;"1450";7;0
"13";202404;2;26;261110;"A";132600;1;621005;101;"Médio Completo";24;"44";3;"Masculino";2;3;97;0;0;0;"1450";3;0
"14";202404;2;26;261110;"A";132600;1;621005;101;"Médio Incompleto";39;"44";1;"Feminino";2;3;97;0;0;0;"1450";1;0
"15";202404;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";22;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"16";202404;2;29;291840;"A";132600;1;641015;101;"6ª a 9ª Fundamental";38;"44";3;"Masculino";0;1;97;0;0;0;"1558.73";8;0
"17";202404;2;29;290720;"A";132600;1;622515;101;"6ª a 9ª Fundamental";26;"48";3;"Feminino";0;1;97;0;0;0;"1450";8;0
"18";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";26;"44";3;"Feminino";2;3;97;0;0;0;"1450";5;0
"19";202404;2;26;260875;"A";132600;1;621005;101;"Médio Completo";23;"44";3;"Masculino";2;3;97;0;0;0;"1450";5;0
"20";202404;2;26;261110;"A";133410;1;621005;101;"Médio Incompleto";18;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"21";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";21;"44";3;"Feminino";2;3;97;0;0;0;"1450";1;0
"22";202404;2;29;290720;"A";132600;1;621005;101;"Até 5ª Incompleto";28;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"23";202404;2;29;291840;"A";132600;1;641015;101;"Médio Completo";18;"48";1;"Masculino";0;1;97;0;0;0;"1450";9;0
"24";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";41;"44";3;"Feminino";0;1;97;0;0;0;"1450";6;0
"25";202404;2;26;261110;"A";132600;1;622515;101;"Médio Completo";30;"44";3;"Feminino";0;1;97;0;0;0;"1450";9;0
"26";202404;2;26;261110;"A";132600;1;621005;101;"Médio Completo";39;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"27";202404;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";20;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"28";202404;2;29;291840;"A";133410;1;621005;101;"5ª Completo Fundamental";24;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"29";202404;2;29;291840;"A";133410;1;622020;101;"Médio Completo";34;"40";1;"Masculino";2;3;97;0;0;0;"1450";1;0
"30";202404;2;29;291840;"A";133410;1;621005;101;"5ª Completo Fundamental";25;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"31";202404;2;26;261110;"A";132600;1;622505;101;"Médio Completo";31;"44";3;"Masculino";2;3;97;0;0;0;"1450";1;0
"32";202404;2;29;291840;"A";132600;1;622505;101;"Médio Completo";20;"24";1;"Feminino";0;1;97;0;0;0;"1450";9;0
"33";202404;2;29;291840;"A";133410;1;411030;101;"Médio Completo";29;"44";1;"Feminino";0;1;97;0;0;0;"1850.75";7;0
"34";202404;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";19;"44";3;"Masculino";0;1;97;0;0;0;"1450";9;0
"35";202404;2;29;290720;"A";133410;1;622505;101;"Fundamental Completo";38;"44";3;"Masculino";0;1;97;0;0;0;"1450";8;0
