"";"competencia";"regiao";"uf";"municipio";"secao";"subclasse";"saldo_movim";"cbo2002ocupacao";"categoria";"grau_instrucao";"idade";"horascontratuais";"raca_cor";"sexo";"tipoempregador";"tipoestabelecimento";"tipo_movim";"tipo_def";"indtrabintermitente";"indtrabparcial";"salario";"tamestabjan";"indicadoraprendiz"
"1";202304;2;26;261110;"A";132600;1;317205;101;"Médio Completo";38;"44,00";1;"Masculino";0;1;97;0;0;0;"2684,07";10;0
"2";202304;2;26;261110;"A";132600;1;621005;101;"Médio Completo";21;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"3";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";28;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"4";202304;2;29;291840;"A";132600;1;621005;101;"6ª a 9ª Fundamental";29;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";8;0
"5";202304;2;29;291840;"A";132600;1;622505;103;"Médio Incompleto";18;"20,00";3;"Feminino";0;1;97;0;0;0;"592,00";8;1
"6";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";37;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"7";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";36;"48,00";1;"Masculino";2;3;97;0;0;0;"1302,00";7;0
"8";202304;2;26;261110;"A";132600;1;622515;101;"Médio Incompleto";19;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"9";202304;2;26;261110;"A";132600;1;622020;105;"Médio Incompleto";18;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"10";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";25;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"11";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";46;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"12";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";26;"48,00";6;"Masculino";2;3;97;0;0;0;"1302,00";7;0
"13";202304;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";17;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";5;0
"14";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";29;"48,00";1;"Masculino";2;3;97;0;0;0;"1302,00";5;0
"15";202304;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";34;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";6;0
"16";202304;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";49;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"17";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";20;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"18";202304;2;29;290720;"A";132600;1;622515;103;"Médio Incompleto";18;"20,00";3;"Feminino";0;1;97;0;0;0;"651,00";8;1
"19";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";24;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"20";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";34;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"21";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";35;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"22";202304;2;26;261110;"A";132600;1;622020;101;"Médio Completo";18;"44,00";3;"Feminino";2;3;97;0;0;0;"1381,00";7;0
"23";202304;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";33;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";6;0
"24";202304;2;29;291840;"A";132600;1;622515;101;"6ª a 9ª Fundamental";24;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"25";202304;2;29;290720;"A";132600;1;622515;101;"6ª a 9ª Fundamental";26;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"26";202304;2;29;291840;"A";132600;1;514225;101;"Médio Completo";43;"44,00";3;"Feminino";0;1;97;0;0;0;"1321,00";10;0
"27";202304;2;26;260875;"A";132600;1;622505;101;"Médio Incompleto";26;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";6;0
"28";202304;2;29;290720;"A";132600;1;622515;101;"Médio Completo";28;"38,50";3;"Masculino";0;1;97;0;0;0;"1302,00";8;0
"29";202304;2;26;261110;"A";132600;1;620105;101;"Médio Completo";31;"44,00";6;"Feminino";2;3;97;0;0;0;"1600,00";1;0
"30";202304;2;26;260875;"A";132600;1;622505;101;"Médio Completo";26;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";6;0
"31";202304;2;26;261110;"A";132600;1;621005;101;"Médio Completo";34;"44,00";6;"Masculino";2;3;97;0;0;0;"2400,00";1;0
"32";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";39;"44,00";6;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"33";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";19;"44,00";1;"Feminino";0;1;97;0;0;0;"1302,00";7;0
"34";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";41;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"35";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";32;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"36";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";26;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";1;0
"37";202304;2;29;290720;"A";132600;1;622515;101;"Até 5ª Incompleto";44;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"38";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";32;"48,00";1;"Masculino";2;3;97;0;0;0;"1147,30";7;0
"39";202304;2;29;290720;"A";132600;1;723215;101;"Médio Incompleto";26;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"40";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";20;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"41";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";50;"48,00";6;"Feminino";0;1;97;0;0;0;"1302,00";9;0
"42";202304;2;29;290720;"A";132600;1;621005;101;"Médio Completo";24;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";9;0
"43";202304;2;26;261110;"A";132600;1;622505;101;"5ª Completo Fundamental";39;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"44";202304;2;29;291840;"A";132600;1;622505;103;"Médio Completo";18;"20,00";3;"Feminino";0;1;97;0;0;0;"592,00";8;1
"45";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";56;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"46";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";22;"44,00";2;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"47";202304;2;26;261110;"A";132600;1;622505;101;"Fundamental Completo";23;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";7;0
"48";202304;2;26;261110;"A";132600;1;622505;101;"Médio Incompleto";24;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";7;0
"49";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";19;"44,00";3;"Masculino";0;1;97;0;0;0;"1392,00";6;0
"50";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";36;"44,00";6;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"51";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";23;"48,00";6;"Feminino";0;1;97;0;0;0;"1302,00";9;0
"52";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";33;"44,00";6;"Masculino";0;1;97;0;0;0;"1302,00";8;0
"53";202304;2;26;261110;"A";132600;1;621005;105;"Até 5ª Incompleto";45;"44,00";4;"Feminino";0;1;97;0;0;0;"1302,05";7;0
"54";202304;2;29;290720;"A";132600;1;621005;101;"Até 5ª Incompleto";18;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"55";202304;2;26;261110;"A";132600;1;641015;101;"Médio Completo";32;"44,00";3;"Masculino";2;3;97;0;0;0;"1562,00";1;0
"56";202304;2;26;261110;"A";132600;1;622505;101;"5ª Completo Fundamental";34;"44,00";3;"Masculino";0;1;97;1;0;0;"1302,00";8;0
"57";202304;2;26;261110;"A";132600;1;622515;101;"Médio Completo";20;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";6;0
"58";202304;2;26;261110;"A";132600;1;641015;101;"Médio Completo";26;"44,00";3;"Masculino";0;1;97;0;0;0;"1358,79";10;0
"59";202304;2;26;261110;"A";132600;1;622505;101;"6ª a 9ª Fundamental";22;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";7;0
"60";202304;2;26;261110;"A";132600;1;621005;101;"Fundamental Completo";35;"44,00";6;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"61";202304;2;26;261110;"A";132600;1;622515;101;"6ª a 9ª Fundamental";26;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";9;0
"62";202304;2;26;260875;"A";132600;1;621005;101;"Fundamental Completo";20;"44,00";3;"Masculino";2;3;97;0;0;0;"1302,00";1;0
"63";202304;2;29;291840;"A";132600;1;622515;101;"Médio Incompleto";31;"44,00";3;"Feminino";0;1;97;0;0;0;"1302,00";10;0
"64";202304;2;29;290720;"A";132600;1;622515;101;"Até 5ª Incompleto";39;"44,00";3;"Masculino";0;1;97;0;0;0;"1302,00";10;0
"65";202304;2;26;261110;"A";132600;1;413110;101;"Superior Completo";40;"44,00";6;"Feminino";0;1;97;0;0;0;"1953,00";7;0
"66";202304;2;29;291840;"A";132600;1;622505;101;"Fundamental Completo";26;"48,00";6;"Masculino";0;1;97;0;0;0;"1302,00";7;0
"67";202304;2;26;261110;"A";132600;1;622505;101;"Médio Completo";19;"44,00";3;"Feminino";2;3;97;0;0;0;"1302,00";2;0
